8004136;München Rosenheimer Platz;604;48.12917;11.59305
8006699;Stuttgart Feuersee;604;48.77277;9.16627
8012666;Potsdam Hbf;603;52.39151;13.06670
8089105;Hermannstraße;598;52.46751;13.43131
8000114;Fürth (Bay) Hbf;597;49.46971;10.98999
8001582;Düsseldorf Wehrhahn;592;51.22845;6.79817
8012202;Leipzig Wilhelm-Leuschner-Platz;592;51.33540;12.37539
8000208;Köln-Ehrenfeld;590;50.95153;6.91728
8000068;Darmstadt Hbf;584;49.87250;8.62964
8005778;Stuttgart-Zuffenhausen;584;48.82941;9.16674
8004131;München Isartor;574;48.13420;11.58323
8003766;Ludwigshafen-Oggersheim;572;49.49319;8.38152
8006198;Wandsbeker Chaussee;570;53.56973;10.05997
8005769;Stuttgart-Bad Cannstatt;570;48.80138;9.21753
8089090;Berlin-Tempelhof;568;52.47097;13.38455
8003184;Karlsruhe-Durlach;565;49.00233;8.46282
8000253;Mönchengladbach Hbf;563;51.19658;6.44611
8006711;Bochum West;562;51.48146;7.21122
8089037;Savignyplatz;560;52.50509;13.31927
8089034;Priesterweg;559;52.45991;13.35628
8002045;Frankfurt-Eschersheim;559;50.15858;8.65543
8089008;Bornholmer Straße;559;52.55449;13.39794
8000141;Tübingen Hbf;558;48.51581;9.05541
8000250;Wiesbaden Hbf;557;50.07079;8.24373
8003200;Kassel-Wilhelmshöhe;556;51.31311;9.44690
8089039;Schönhauser Allee;555;52.54920;13.41546
8070146;Sternschanze;554;53.56372;9.96720
8010304;Rostock Hbf;553;54.07825;12.13108
8089047;Berlin-Westkreuz;552;52.50074;13.28397
8000036;Bielefeld Hbf;544;52.02926;8.53272
8000010;Aschaffenburg Hbf;540;49.98056;9.14370
8000118;Gelsenkirchen Hbf;540;51.50490;7.10245
8070004;Frankfurt (Main) Flughafen Regionalbahnhof;539;50.05122;8.57125
8070003;Frankfurt am Main Flughafen Fernbahnhof;539;50.05317;8.57019
8004148;München-Giesing;535;48.11080;11.59635
8000149;Hamm (Westf) Hbf;530;51.67808;7.80782
8000206;Koblenz Hbf;528;50.35093;7.58835
8089017;Hackescher Markt;528;52.52262;13.40236
8002554;Hamburg-Bergedorf;527;53.48983;10.20617
8089059;Friedrichsfelde Ost;527;52.51417;13.52025
8089052;Berlin-Adlershof;523;52.43503;13.54113
8089112;Heidelberger Platz;523;52.47997;13.31202
8001082;Bonn-Bad Godesberg;520;50.68393;7.15956
8089106;Innsbrucker Platz;519;52.47808;13.34220
8000294;Osnabrück Hbf;513;52.27285;8.06178
8000237;Lübeck Hbf;510;53.86755;10.66982
8070090;Offenbach Marktplatz;509;50.10585;8.76363
8006552;Wolfsburg Hbf;508;52.42950;10.78778
8089107;Bundesplatz;507;52.47762;13.32959
8003341;Koblenz Stadtmitte;506;50.35771;7.58999
8012940;Schwerin Mitte;505;53.62691;11.40533
8001584;Düsseldorf-Benrath;504;51.16229;6.87893
8004661;Ohlsdorf;504;53.62087;10.03197
8005419;München Heimeranplatz;502;48.13296;11.53150
8005767;Stuttgart Nord;501;48.80377;9.18803
8089537;Julius-Leber-Brücke;499;52.48652;13.36127
8089002;Berlin Anhalter Bahnhof;497;52.50349;13.38136
8089004;Baumschulenweg;495;52.46724;13.49010
8004542;Oberhausen-Sterkrade;494;51.51209;6.84354
8002058;Frankfurt (Main) Ostendstraße;493;50.11256;8.69699
8004179;München-Hirschgarten;492;48.14354;11.51924
8004241;Nettelnburg;491;53.48789;10.18141
8006719;Wuppertal-Oberbarmen;490;51.27384;7.22148
8001520;Dortmund-Stadthaus;489;51.50783;7.46876
8000049;Braunschweig Hbf;488;52.25222;10.54030
8089069;Berlin-Köpenick;487;52.45861;13.58094
8013444;Dresden Mitte;481;51.05617;13.72411
8089033;Prenzlauer Allee;477;52.54462;13.42641
8004134;München Leuchtenbergring;475;48.13425;11.61599
8006705;Reeperbahn;473;53.54967;9.95767
8089109;Berlin-Halensee;472;52.49625;13.29033
8011901;Berlin-Hohenschönhausen;469;52.56600;13.51242
8089011;Greifswalder Straße;466;52.54002;13.43956
8089104;Köllnische Heide;465;52.46965;13.46781
8004473;Nürnberg Rothenburger Straße;463;49.44540;11.05534
8089026;Nöldnerplatz;462;52.50350;13.48445
8006690;Frankfurt (Main) Galluswarte;455;50.10403;8.64472
8001920;Esslingen (Neckar);454;48.73881;9.30008
8002042;Frankfurt (Main) West;448;50.11886;8.63934
8006691;Frankfurt (Main) Taunusanlage;448;50.11357;8.66886
8004162;München-Trudering;438;48.12607;11.66338
8006713;Leverkusen Mitte;437;51.03151;6.99166
8000236;Ludwigshafen (Rhein) Hbf;435;49.47799;8.43340
8000193;Kassel Hbf;433;51.31826;9.48950
8004142;München-Berg am Laim;431;48.13400;11.63330
8089116;Westhafen;426;52.53625;13.34425
8000323;Saarbrücken Hbf;425;49.24106;6.99102
8005770;Stuttgart-Feuerbach;423;48.81367;9.16938
8000164;Herne;422;51.54365;7.21783
8006062;Veddel;422;53.52170;10.01331
8004137;München Siemenswerke;421;48.09450;11.53280
8089114;Lankwitz;421;52.43875;13.34195
8089102;Karl-Bonhoeffer-Nervenklinik;420;52.57805;13.32918
8000082;Düsseldorf Flughafen;420;51.29201;6.78684
8089075;Berlin-Marzahn;416;52.54361;13.54134
8006596;Wuppertal-Barmen;416;51.26697;7.19516
8010324;Schwerin Hbf;415;53.63474;11.40746
8000150;Hanau Hbf;414;50.12095;8.92900
8000021;Bad Kreuznach;413;49.84240;7.86644
8006698;Stuttgart Schwabstraße;413;48.77025;9.15696
8089043;Treptower Park;413;52.49356;13.46144
8000134;Trier Hbf;413;49.75685;6.65245
8000512;Alte Wöhr;412;53.59793;10.03542
8089103;Alt-Reinickendorf;405;52.57809;13.34962
8004469;Nürnberg Nordost;403;49.47398;11.10612
8089040;Springpfuhl;402;52.52635;13.53674
8089041;Storkower Straße;401;52.52391;13.46440
